,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
54,SFO,San Francisco,ZRH,Zurich,0,55,"[0, 11]","[55, 35]",aedb6c755cf57130abb5b1f5e88a1eb6,1213.0,1,11,90,660,750,1559792590.008519
55,ZRH,Zurich,SFO,San Francisco,4,12,"[4, 8]","[12, 35]",a07765ff978e032d019191054bad6529,1218.0,1,12,47,720,767,1559792590.008519
56,ZRH,Zurich,SFO,San Francisco,4,56,"[4, 7]","[56, 35]",a7f654bf3fda79e3365a1cab326da4dc,1398.0,1,11,91,660,751,1559792590.008519
57,ZRH,Zurich,SFO,San Francisco,11,10,"[11, 2]","[10, 45]",5e234f2c2d5b406526cd340246d9788f,1587.0,1,13,55,780,835,1559792590.008519
58,ZRH,Zurich,SFO,San Francisco,5,46,"[5, 6, 1]","[46, 55, 55]",bdda2214fb3d481efb5c8b5e5bc08b69,1572.0,2,12,156,720,876,1559792590.008519
59,ZRH,Zurich,SFO,San Francisco,4,36,"[4, 9]","[36, 4]",d25cd1f8a1dd3c7d88ae2cbcf7686a35,10856.0,1,13,40,780,820,1559792590.008519
60,ZRH,Zurich,SFO,San Francisco,5,28,"[5, 7]","[28, 25]",29e4cdd57555e7d447c79c23af4d8507,3593.0,1,12,53,720,773,1559792590.008519
61,SFO,San Francisco,ZRH,Zurich,1,35,"[1, 10]","[35, 55]",f8d75d9ed430abf0784774be1341d858,1439.0,1,11,90,660,750,1559792590.008519
62,ZRH,Zurich,SFO,San Francisco,5,46,"[5, 6, 1]","[46, 55, 55]",2f2c37e6195002986432213ed8853b21,1522.0,2,12,156,720,876,1559792590.008519
63,ZRH,Zurich,SFO,San Francisco,4,12,"[4, 8]","[12, 35]",53c444142db7ec8269ccd085f936a596,1218.0,1,12,47,720,767,1559792590.008519
64,ZRH,Zurich,SFO,San Francisco,10,50,"[10, 0]","[50, 55]",c965e4aa81f5be9facc7e6585008af7f,1429.0,1,10,105,600,705,1559792590.008519
65,ZRH,Zurich,SFO,San Francisco,11,10,"[11, 2]","[10, 40]",9202672b5b7f4893577239be3c414c1b,2044.0,1,13,50,780,830,1559792590.008519
66,ZRH,Zurich,SFO,San Francisco,10,25,"[10, 1]","[25, 50]",dcacc70978e2729939d9b5a6ff47eed7,3910.0,1,11,75,660,735,1559792590.008519
67,ZRH,Zurich,SFO,San Francisco,10,45,"[10, 2, 1]","[45, 5, 35]",a3324d76bfb486cb3b16713849f849ae,3613.0,2,13,85,780,865,1559792590.008519
68,ZRH,Zurich,SFO,San Francisco,4,42,"[4, 9]","[42, 4]",71e5fd46a4c4bffb480fd302d1436f9d,1439.0,1,13,46,780,826,1559792590.008519
69,SFO,San Francisco,ZRH,Zurich,2,15,"[2, 11]","[15, 0]",c566cc10dc86ddbb3d265ba42b345202,1417.0,1,13,15,780,795,1559792590.008519
70,ZRH,Zurich,SFO,San Francisco,11,0,"[11, 0]","[0, 55]",a93882c8b6678a14da988e88223a8972,1248.0,1,11,55,660,715,1559792590.008519
