,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
63,NRT,Tokyo,SFO,San Francisco,12,40,"[12, 3]","[40, 25]",8fcb1979f39b81c6cdf88a6c2d0924b9,1239.0,1,15,65,900,965,1559792268.4028642
64,NRT,Tokyo,SFO,San Francisco,2,24,"[2, 10]","[24, 20]",b2d1f098048e1de176b88f2c87234b5a,13317.0,1,12,44,720,764,1559792268.4028642
65,NRT,Tokyo,SFO,San Francisco,1,39,"[1, 11]","[39, 15]",352c54e14336872e32fc73b693e59411,2235.0,1,12,54,720,774,1559792268.4028642
66,NRT,Tokyo,SFO,San Francisco,10,45,[10],[45],435de7fa1cf4062fd6231a7f0f7c9d41,13313.0,0,10,45,600,645,1559792268.4028642
67,SFO,San Francisco,NRT,Tokyo,9,35,[9],[35],f67e1d47a74b39427718e403350c1cce,11834.0,0,9,35,540,575,1559792268.4028642
68,NRT,Tokyo,SFO,San Francisco,5,25,"[5, 8]","[25, 20]",a8c5cae226098edc1258a42a369ef3f9,2482.0,1,13,45,780,825,1559792268.4028642
69,NRT,Tokyo,SFO,San Francisco,4,55,"[4, 4, 10]","[55, 9, 50]",d6e3389117fdacb7d8e31e9658cc2b22,1771.0,2,18,114,1080,1194,1559792268.4028642
70,NRT,Tokyo,SFO,San Francisco,1,39,"[1, 11]","[39, 15]",d5d6680733747fbf6c1b6f159ad04ed9,2235.0,1,12,54,720,774,1559792268.4028642
71,NRT,Tokyo,SFO,San Francisco,1,37,"[1, 11]","[37, 20]",7b54db17616173b1efd228fd23727d9f,2234.0,1,12,57,720,777,1559792268.4028642
72,SFO,San Francisco,NRT,Tokyo,10,15,"[10, 1]","[15, 35]",10f7dbb63d485823a5e4ea53c23ede77,2783.0,1,11,50,660,710,1559792268.4028642
73,NRT,Tokyo,SFO,San Francisco,10,45,[10],[45],55077a151234765c83af901a161fe9e7,2231.0,0,10,45,600,645,1559792268.4028642
74,NRT,Tokyo,SFO,San Francisco,12,10,"[12, 2]","[10, 30]",b71d544472cf8ef3cbdcfe204abaff56,2197.0,1,14,40,840,880,1559792268.4028642
75,SFO,San Francisco,NRT,Tokyo,12,15,"[12, 6]","[15, 16]",467f231692cef6a94c9038bdd83a166b,1347.0,1,18,31,1080,1111,1559792268.4028642
76,NRT,Tokyo,SFO,San Francisco,10,45,[10],[45],bb80562a64a6bab6c81494bdbb806f97,2230.0,0,10,45,600,645,1559792268.4028642
77,SFO,San Francisco,NRT,Tokyo,3,40,"[3, 11]","[40, 15]",0e7eb03bed22c2389c9be1faaef9837e,880.0,1,14,55,840,895,1559792268.4028642
78,NRT,Tokyo,SFO,San Francisco,10,45,[10],[45],e8099e31bc87386e38e4d8564d1206ec,2231.0,0,10,45,600,645,1559792268.4028642
79,NRT,Tokyo,SFO,San Francisco,1,42,"[1, 11]","[42, 10]",8e958c48b8bf2ce7507ad316ae184941,2212.0,1,12,52,720,772,1559792268.4028642
80,NRT,Tokyo,SFO,San Francisco,12,5,"[12, 3]","[5, 30]",c3fa3a5ce86478293a26936f77215965,1487.0,1,15,35,900,935,1559792268.4028642
81,NRT,Tokyo,SFO,San Francisco,1,40,"[1, 11]","[40, 30]",c4ec78d544cc61fc2c336aa851437482,1252.0,1,12,70,720,790,1559792268.4028642
82,NRT,Tokyo,SFO,San Francisco,1,40,"[1, 11]","[40, 30]",5443c6006aeb68f899e4d31fa5d0cf22,5783.0,1,12,70,720,790,1559792268.4028642
83,SFO,San Francisco,NRT,Tokyo,3,50,"[3, 12]","[50, 5]",3153157c08ce696eed5527e19cdd9e2a,973.0,1,15,55,900,955,1559792268.4028642
84,NRT,Tokyo,SFO,San Francisco,1,39,"[1, 11]","[39, 15]",4012295f5b36a4dd147904387aa7884b,2234.0,1,12,54,720,774,1559792268.4028642
85,NRT,Tokyo,SFO,San Francisco,1,39,"[1, 11]","[39, 20]",983dbc0164cc65c981d14333cc396c9b,2234.0,1,12,59,720,779,1559792268.4028642
86,NRT,Tokyo,SFO,San Francisco,14,0,"[14, 4]","[0, 30]",42615c9b5e462b20379d89f4a23053a0,974.0,1,18,30,1080,1110,1559792268.4028642
87,NRT,Tokyo,SFO,San Francisco,4,55,"[4, 4, 10]","[55, 9, 50]",502e207e5b2a22bb3572f9d529aace48,1350.0,2,18,114,1080,1194,1559792268.4028642
88,SFO,San Francisco,NRT,Tokyo,10,10,"[10, 1]","[10, 25]",6afb7640fa8749747c2d463930ba8d70,1252.0,1,11,35,660,695,1559792268.4028642
89,NRT,Tokyo,SFO,San Francisco,14,50,"[14, 1, 3]","[50, 55, 20]",619fc0eaacaf650d162b0a7b32255112,1453.0,2,18,125,1080,1205,1559792268.4028642
90,NRT,Tokyo,SFO,San Francisco,5,15,"[5, 0, 8]","[15, 41, 25]",362155980e8efd305ae03e5fc25d1985,2137.0,2,13,81,780,861,1559792268.4028642
91,NRT,Tokyo,SFO,San Francisco,1,39,"[1, 11]","[39, 15]",c6943c82ba32f587e9117fc3e8768b8a,10791.0,1,12,54,720,774,1559792268.4028642
92,NRT,Tokyo,SFO,San Francisco,1,37,"[1, 11]","[37, 15]",9b2eb71adc9ff293eb13a8cc614bfe67,2234.0,1,12,52,720,772,1559792268.4028642
93,NRT,Tokyo,SFO,San Francisco,12,5,"[12, 3]","[5, 30]",ecadbcfcfeac330ed30ca2727ab886a3,1125.0,1,15,35,900,935,1559792268.4028642
94,NRT,Tokyo,SFO,San Francisco,2,15,"[2, 11, 2]","[15, 35, 20]",199af2666fd66ef62dc642beca1a16f1,1433.0,2,15,70,900,970,1559792268.4028642
95,SFO,San Francisco,NRT,Tokyo,9,25,[9],[25],8cbbed64390e5caca12fb853759bdedf,5783.0,0,9,25,540,565,1559792268.4028642
96,NRT,Tokyo,SFO,San Francisco,14,45,"[14, 4]","[45, 25]",51504eaffdc3cbf4acb3c3b8eaf8b403,11606.0,1,18,70,1080,1150,1559792268.4028642
97,NRT,Tokyo,SFO,San Francisco,4,55,"[4, 4, 10]","[55, 9, 50]",e30fd654d9c906674da0a7962f29c463,11834.0,2,18,114,1080,1194,1559792268.4028642
98,NRT,Tokyo,SFO,San Francisco,1,40,"[1, 11]","[40, 30]",00071d29654c22e842343f383fdc5f45,1443.0,1,12,70,720,790,1559792268.4028642
99,SFO,San Francisco,NRT,Tokyo,12,55,"[12, 4]","[55, 55]",3182ad3a291f6e8ec837d3f0dba6eac7,1485.0,1,16,110,960,1070,1559792268.4028642
100,SFO,San Francisco,NRT,Tokyo,7,45,"[7, 5]","[45, 15]",8009fbf0469d7adf7a0e6fe5f5397d2a,1991.0,1,12,60,720,780,1559792268.4028642
101,NRT,Tokyo,SFO,San Francisco,5,25,"[5, 8]","[25, 20]",c50dc9dba2bdca04ba9794bb7ddeab0d,1991.0,1,13,45,780,825,1559792268.4028642
102,NRT,Tokyo,SFO,San Francisco,12,40,"[12, 3]","[40, 15]",73eaf1cf8991f03c309fea538dd5193f,1290.0,1,15,55,900,955,1559792268.4028642
103,NRT,Tokyo,SFO,San Francisco,12,30,"[12, 2]","[30, 30]",5b3fe70e9aa6d597e2209b225404457c,1374.0,1,14,60,840,900,1559792268.4028642
