,arr_city,dept_city,leg_id,price,stops,total_time_mins,arr_city_coords,dept_city_coords
114,Rome,San Francisco,542cce51d67b2dbe95685984beef4870,3356.0,1,790,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
115,Rome,San Francisco,65b8a6e73d2416a40c77a9a2977360e7,1752.0,1,812,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
116,Rome,San Francisco,de716e55c2d5da9263ebfc893226e997,2049.0,1,804,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
117,Rome,San Francisco,ca64e247dbb10bf4879df80aab4f55f8,1244.0,1,810,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
118,San Francisco,Rome,00d1898625e872e8c67e31a7d85efe49,1505.0,1,850,"(37.7749295, -122.4194155)","(41.9027835, 12.4963655)"
119,Rome,San Francisco,68a9a541f34ec48093b4f4d6b9a629f4,1291.0,1,760,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
120,San Francisco,Rome,8a284fce512559fd7ba6abf9b24720a9,1485.0,1,800,"(37.7749295, -122.4194155)","(41.9027835, 12.4963655)"
121,Rome,San Francisco,51cc56ecc8e245cfd6cba1cbf3b3a1e3,1291.0,1,775,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
122,San Francisco,Rome,e83cc725fa6efe07aec290a5b08610ee,1583.0,1,815,"(37.7749295, -122.4194155)","(41.9027835, 12.4963655)"
123,Rome,San Francisco,cfcef5c67f0c092e62fe352f45edad82,12767.0,1,862,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
124,Rome,San Francisco,c09e4e285e3d4bb732774223c1d47d5d,1274.0,1,760,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
125,Rome,San Francisco,8fabc9b89962ce8aeb15c67791586fc1,1869.0,1,862,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
126,Rome,San Francisco,a02d7b4fed04300758b33da46797cbee,1244.0,1,855,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
127,Rome,San Francisco,65ee8cad8b9f883fc1ec9711c40d91cc,1556.0,1,804,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
128,Rome,San Francisco,499f22b703ea0780dbe7ab48f0fa72a2,1320.0,1,775,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
129,Rome,San Francisco,83ce75d0848779e33c6669a38e1b6676,1239.0,1,793,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
130,Rome,San Francisco,894d371f5769b2f0e78d0d2c7c7540ad,1245.0,1,845,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
131,Rome,San Francisco,655d0122ae714c14fada16725388ba13,1481.0,1,845,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
132,Rome,San Francisco,dc4341033be017b74fe7f434b3d28056,1485.0,2,916,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
133,Rome,San Francisco,87bf687f1c71c7e716cb3ace9e595304,1390.0,1,791,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
134,Rome,San Francisco,4f8aed2df793c9c2e1a72d6c73ce208e,1306.0,1,795,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
135,Rome,San Francisco,17c86319ee4c70d717ab25f07d58b226,1253.0,1,940,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
136,Rome,San Francisco,48bea28da1fc6118d6e615edd067ab3c,1267.0,2,913,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
137,Rome,San Francisco,a4f446f19c7128ef386a6b60ffff906d,3963.0,2,844,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
138,Rome,San Francisco,67832ab537839b99b293f45fa31b8350,12767.0,1,854,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
139,Rome,San Francisco,127b7430886e7ac03850618f8807e8e8,2176.0,2,846,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
140,Rome,San Francisco,ea2ddd941d0a2d6e27a46cc5538e88c6,7100.0,1,804,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
141,San Francisco,Rome,643f42a2b87cf2632793772f76e3f165,1239.0,1,880,"(37.7749295, -122.4194155)","(41.9027835, 12.4963655)"
142,Rome,San Francisco,7e51ab079092f3600b7f7187733790a7,1628.0,1,825,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
143,San Francisco,Rome,2ae5661e40f5922a4f255a83fce83795,2049.0,1,949,"(37.7749295, -122.4194155)","(41.9027835, 12.4963655)"
144,Rome,San Francisco,2122690eb481360acdada0462b805860,1382.0,2,835,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
145,Rome,San Francisco,87a16a8a462a870e69f9f0b6ce696e64,981.0,1,790,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
146,Rome,San Francisco,bbc73e4cee4fac7ab1f734dde8d70e7a,1273.0,1,745,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
147,Rome,San Francisco,229ffce33220220b538b5ca715ce4ed0,1583.0,1,770,"(41.9027835, 12.4963655)","(37.7749295, -122.4194155)"
