,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
39,SFO,San Francisco,SYD,Sydney,13,20,[13],[20],39e839e30f5bb7c8b74ab8420e715c13,932.0,0,13,20,780,800,1559791859.079683
40,SYD,Sydney,SFO,San Francisco,1,44,"[1, 15]","[44, 5]",f9e1f59029a4598971ab87cc6f8391b0,857.0,1,16,49,960,1009,1559791859.079683
41,SYD,Sydney,SFO,San Francisco,3,47,"[3, 17]","[47, 15]",101ecc916fd6211890657bc4601baa30,824.0,1,20,62,1200,1262,1559791859.079683
42,SYD,Sydney,SFO,San Francisco,1,42,"[1, 15]","[42, 5]",e67d694bf80747f6d647742e9cccfaee,862.0,1,16,47,960,1007,1559791859.079683
43,SYD,Sydney,SFO,San Francisco,1,45,"[1, 15]","[45, 0]",fb81c1a45d527c57010ade12283f0ec8,936.0,1,16,45,960,1005,1559791859.079683
44,SYD,Sydney,SFO,San Francisco,3,42,"[3, 17]","[42, 0]",ddd23a106e7d7783ff930d9c2b12a0b8,944.0,1,20,42,1200,1242,1559791859.079683
45,SFO,San Francisco,SYD,Sydney,8,20,"[8, 13]","[20, 5]",082d9c15800adb3228d5d5263920ad90,1182.0,1,21,25,1260,1285,1559791859.079683
46,SFO,San Francisco,SYD,Sydney,15,50,"[15, 4]","[50, 8]",7fd5ff90aebc6a681d84f2c881b459f8,824.0,1,19,58,1140,1198,1559791859.079683
47,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",a2f6e5f34a7323dd4d70eca74a321dbb,933.0,1,16,55,960,1015,1559791859.079683
48,SYD,Sydney,SFO,San Francisco,1,37,"[1, 14]","[37, 45]",42b2417f1dd762a0a3eb1677896966c4,942.0,1,15,82,900,982,1559791859.079683
49,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",2a856f3205ed908b101109193ecc178a,962.0,1,16,55,960,1015,1559791859.079683
50,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15]","[34, 5]",6999186b2eb957a1a38316cdf156b54d,860.0,1,16,39,960,999,1559791859.079683
